Text;Annotations;ner_tags
"[ ""Chad"", ""le"", ""Clos"", ""Jewgienij"", ""Korotyszkin"" ]";[1,2,2,2,2];[ 1, 2, 2, 1, 2 ]
"[ ""Bartholomew"", ""Green"", ""("", ""Essex"", "")"" ]";[5,6,0,5];[ 5, 6, 6, 6, 6 ]
"[ ""Prawdziwą"", ""karierę"", ""zrobił"", ""jednak"", ""występując"", ""w"", ""zespole"", ""Athleticu"", ""Bilbao"", ""."" ]";[0,0,0,0,0,0,0,3,4,0];[ 0, 0, 0, 0, 0, 0, 0, 3, 4, 0 ]
"[ ""'"", ""''"", ""Julija"", ""Jefimowa"", ""''"", ""'"" ]";[0,0,1,2,0,0];[ 0, 0, 1, 2, 0, 0 ]
"[ ""W"", ""zawodach"", ""tych"", ""wyprzedził"", ""go"", ""jedynie"", ""jego"", ""rodak"", ""Raoul"", ""Lesueur"", "","", ""a"", ""trzecie"", ""miejsce"", ""wywalczył"", ""Holender"", ""Jan"", ""Pronk"", ""."" ]";[0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,2,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 5, 1, 2, 0 ]
"[ ""Przegrała"", ""w"", ""finale"", ""z"", ""Conchitą"", ""Martínez"", ""."" ]";[0,0,0,0,1,2,0];[ 0, 0, 0, 0, 1, 2, 0 ]
"[ ""Dłuższą"", ""wersję"", ""TrailBlazera"", ""wytwarzano"", ""w"", ""fabryce"", ""General"", ""Motors"", ""w"", ""Oklahoma"", ""City"", ""w"", ""stanie"", ""Oklahoma"", ""."" ]";[0,0,0,0,0,0,3,4,0,5,6,0,0,5,0];[ 0, 0, 0, 0, 0, 0, 3, 4, 0, 5, 6, 0, 0, 5, 0 ]
"[ ""Câu"", ""Lạc"", ""Bộ"", ""Quân"", ""Đội"" ]";[3,4,4,4,4];[ 3, 4, 4, 4, 4 ]
"[ ""Goiás"", ""Goiânia"", ""-"", ""Internacional"", ""Limeira"", ""3:0Guga"", ""("", ""2"", "")"", "","", ""Niltinho"" ]";[5,6,0,3,4,0,0,0,0,0,1];[ 3, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0 ]
"[ ""680"", ""km"", ""–"", ""Gorodiszcze"" ]";[0,0,0,5];[ 0, 0, 0, 5 ]
"[ ""``"", ""Paris"", ""Is"", ""Burning"", ""''"", "","", ""2008-07-06"" ]";[0,3,4,4,0,0,0];[ 0, 3, 4, 4, 0, 0, 0 ]
"[ ""Niespodziewanie"", ""w"", ""marcu"", ""rozegrały"", ""ostatni"", ""wspólny"", ""mecz"", "","", ""przegrywając"", ""w"", ""pierwszej"", ""rundzie"", ""w"", ""Miami"", ""z"", ""Natalie"", ""Grandin"", ""i"", ""Abigail"", ""Spears"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1,2,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 2, 0, 1, 2, 0 ]
"[ ""Charlotta"", ""Mecklenburg-Strelitz"", ""("", ""1774-1818"", "")"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""Wspólna"", ""polityka"", ""zagraniczna"", ""i"", ""bezpieczeństwa"" ]";[3,4,4,4,4];[ 5, 6, 6, 6, 6 ]
"[ ""Usher"", ""("", ""feat"", ""."" ]";[1,0,0,0];[ 3, 0, 0, 0 ]
"[ ""udał"", ""się"", ""na"", ""dobrowolne"", ""wygnanie"", ""do"", ""Ardei"", ""."" ]";[0,0,0,0,0,0,5,0];[ 0, 0, 0, 0, 0, 0, 5, 0 ]
"[ ""==="", ""Historia"", ""nr"", ""8"", ""("", ""Izrael"", ""''"", "")"", ""==="" ]";[0,0,0,0,0,5,0,0,0];[ 0, 0, 0, 0, 0, 5, 0, 0, 0 ]
"[ ""Przebywał"", ""w"", ""więzieniach"", ""w"", ""Stanisławowie"", ""i"", ""Chersoniu"", ""."" ]";[0,0,0,0,5,0,5,0];[ 0, 0, 0, 0, 5, 0, 5, 0 ]
"[ ""Później"", ""grał"", ""Cambuur"", ""Leeuwarden"", "","", ""AZ"", ""Alkmaar"", "","", ""FC"", ""Utrecht"", ""oraz"", ""w"", ""Red"", ""Bull"", ""Salzburg"", ""."" ]";[0,0,3,4,0,3,4,0,3,4,0,0,3,4,4,0];[ 0, 0, 3, 4, 0, 3, 4, 0, 3, 4, 0, 0, 3, 4, 4, 0 ]
"[ ""Plan"", ""ten"", ""zatwierdził"", ""car"", ""Mikołaj"", ""I"", "","", ""jednak"", ""nie"", ""był"", ""on"", ""możliwy"", ""do"", ""realizacji"", ""z"", ""braku"", ""pieniędzy"", ""."" ]";[0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0];[ 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Placówka"", ""muzealna"", ""jest"", ""obecnie"", ""jedną"", ""z"", ""największych"", ""tego"", ""typu"", ""na"", ""terenie"", ""Hiszpanii"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0 ]
"[ ""PATRZ"", ""Wilki"", ""("", ""Litwa"", "")"" ]";[0,0,0,5,0];[ 0, 5, 6, 6, 6 ]
"[ ""Wilhelm"", ""Schraml"", ""-"", ""duchowny"" ]";[1,2,0,0];[ 1, 2, 0, 0 ]
"[ ""James"", ""Brown"", ""-"", ""``"", ""Escape-Ism"", ""''"" ]";[1,2,0,0,0,0];[ 1, 2, 0, 0, 0, 0 ]
"[ ""PATRZ"", ""NYC"", ""("", ""singel"", "")"" ]";[0,0,0,0,0];[ 0, 3, 4, 4, 4 ]
"[ ""Była"", ""córką"", ""siostrzenicy"", ""Lwa"", ""Tołstoja"", ""."" ]";[0,0,0,1,2,0];[ 0, 0, 0, 1, 2, 0 ]
"[ ""'"", ""''"", ""Austria"", ""''"", ""'"" ]";[0,0,5,0,0];[ 0, 0, 5, 0, 0 ]
"[ ""Przybywali"", ""tutaj"", ""mieszkańcy"", ""Szczecina"", ""i"", ""Goleniowa"", ""."" ]";[0,0,0,5,0,5];[ 0, 0, 0, 5, 0, 5, 0 ]
"[ ""Natalie"", ""Portman"", "","", ""Ashton"", ""Kutcher"", "","", ""Kevin"", ""Kline"", "","", ""Cary"", ""Elwes"" ]";[1,2,0,1,2,0,1,2,0,1,2];[ 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2 ]
"[ ""Natomiast"", ""w"", ""sierpniowym"", ""spotkaniu"", ""z"", ""Bośnią"", ""i"", ""Hercegowiną"", ""("", ""1:1"", "")"", ""zdobył"", ""jedynego"", ""gola"", ""dla"", ""swojej"", ""drużyny"", ""."" ]";[0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Osetia"", ""i"", ""Osetia"", ""Południowa"" ]";[5,0,5,6];[ 5, 0, 5, 6 ]
"[ ""Ziem"", ""Odzyskanych"", ""("", ""tzw"", ""."" ]";[5,6,0,0,0];[ 5, 6, 0, 0, 0 ]
"[ ""Występują"", ""wszystkie"", ""maści"", ""podstawowe"", ""."" ]";[0,0,0,0,0];[ 0, 0, 3, 0, 0 ]
"[ ""Szymon"", ""Ziółkowski"", ""—"", ""75.62"", ""m"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""Monte"", ""Mars"", ""-"", ""2600"", ""m"", "","" ]";[5,6,0,0,0,0];[ 5, 6, 0, 0, 0, 0 ]
"[ ""'"", ""''"", ""Maccabi"", ""Netanja"", ""''"", ""'"" ]";[0,0,3,4,0,0];[ 0, 0, 3, 4, 0, 0 ]
"[ ""Tuğba"", ""Karademir"", ""-"", ""24."", ""miejsce"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""PATRZ"", ""Linia"", ""elektroenergetyczna"", ""Jekybastuz-Kokczetaw"" ]";[0,3,4,4];[ 0, 3, 4, 4 ]
"[ ""Od"", ""początku"", ""lat"", ""90."", ""zaangażowana"", ""w"", ""działalność"", ""organizacji"", ""związanych"", ""z"", ""Francuską"", ""Partią"", ""Komunistyczną"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,3,4,4,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0 ]
"[ ""'"", ""''"", ""Karin"", ""Thürig"", ""''"", ""'"" ]";[0,0,1,2,0,0];[ 0, 0, 1, 2, 0, 0 ]
"[ ""PATRZ"", ""Sanok"", ""("", ""gmina"", ""wiejska"", "")"" ]";[0,5,0,0,0,0];[ 0, 5, 6, 6, 6, 6 ]
"[ ""Piełagieja"", ""''"", ""("", ""1-"", "")"", ""Dima"", ""Biłan"", ""''"", ""("", ""1-"", "")"", ""''Maxim"", ""Fadeev"", ""''"", ""("", ""1-"", "")"", ""''"" ]";[1,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0];[ 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Wobec"", ""zagrożenia"", ""oblężeniem"", ""zdecydowano"", ""się"", ""też"", ""na"", ""wysłanie"", ""części"", ""rządu"", ""do"", ""Tours"", "","", ""poza"", ""zasięg"", ""przewidywanych"", ""walk"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0 ]
"[ ""Muzyka"", ""–"", ""Mark"", ""Isham"" ]";[0,0,1,2];[ 0, 0, 1, 2 ]
"[ ""Ranni"", ""i"", ""wzięci"", ""do"", ""niewoli"", ""zostali"", ""rozstrzelani"", ""przez"", ""żołnierzy"", ""Waffen-SS"", ""."" ]";[0,0,0,0,0,0,0,0,0,3,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0 ]
"[ ""Latem"", ""został"", ""wypożyczony"", ""do"", ""Kavali"", ""."" ]";[0,0,0,0,3,0];[ 0, 0, 0, 0, 3, 0 ]
"[ ""Sporting"", ""CP"", ""-"", ""Inter"", ""Mediolan"", ""1:0"", ""("", ""0:0"", "")"" ]";[3,4,0,3,4,0,0,0,0];[ 3, 4, 0, 3, 4, 0, 0, 0, 0 ]
"[ ""Urodził"", ""się"", ""w"", ""Warszawie"", ""w"", ""arystokratycznej"", ""rodzinie"", ""."" ]";[0,0,0,5,0,0,0,0];[ 0, 0, 0, 5, 0, 0, 0, 0 ]
"[ ""Jego"", ""siedzibą"", ""jest"", ""miasto"", ""Jędrzejów"", ""."" ]";[0,0,0,0,5,0];[ 0, 0, 0, 0, 5, 0 ]
"[ ""Miasto"", ""jest"", ""siedzibą"", ""dowództwa"", ""11"", ""Lubuskiej"", ""Dywizji"", ""Kawalerii"", ""Pancernej"", ""oraz"", ""kilku"", ""innych"", ""jednostek"", ""wojskowych"", ""."" ]";[0,0,0,0,3,4,4,4,4,0,0,0,0,0,0];[ 0, 0, 0, 0, 3, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0 ]
"[ ""Obejmuje"", ""co"", ""najmniej"", ""2"", ""gatunki"", ""występujące"", ""naturalnie"", ""na"", ""Półwyspie"", ""Iberyjskim"", ""oraz"", ""w"", ""Afryce"", ""Północnej"", ""."" ]";[0,0,0,0,0,0,0,0,5,6,0,0,5,6,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 5, 6, 0 ]
"[ ""Taylor"", ""Hicks"", ""z"", ""programu"", ""American"", ""Idol"", ""''"" ]";[1,2,0,0,3,4,0];[ 1, 2, 0, 0, 3, 4, 0 ]
"[ ""w"", ""Jerozolimie"", "","", ""zm"", ""."" ]";[0,5,0,0,0];[ 0, 5, 0, 0, 0 ]
"[ ""Służył"", ""w"", ""Marynarce"", ""Wojennej"", ""ZSRR"", ""."" ]";[0,0,3,4,4,0];[ 0, 0, 3, 4, 4, 0 ]
"[ ""'"", ""''"", ""Liezel"", ""Huber"", ""Lisa"", ""Raymond"", ""("", ""1"", "")"" ]";[0,0,1,2,1,2,0,0,0];[ 0, 0, 1, 2, 1, 2, 0, 0, 0 ]
"[ ""Ten"", ""nurt"", ""artystycznych"", ""był"", ""popularny"", ""w"", ""Europie"", ""środkowowschodniej"", ""na"", ""przełomie"", ""lat"", ""50."", ""i"", ""60"", ""."" ]";[0,0,0,0,0,0,5,6,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Święty"", ""Jakub"", ""Starszy"", "","", ""Apostoł"" ]";[1,2,2,2,2];[ 1, 2, 2, 2, 2 ]
"[ ""'"", ""''"", ""Kenny"", ""Roberts"", ""Jr"", ""."", ""''"", ""'"" ]";[0,0,1,2,2,0,0,0];[ 0, 0, 1, 2, 2, 2, 0, 0 ]
"[ ""Po"", ""serii"", ""trzynastu"", ""wygranych"", ""pojedynków"", ""z"", ""rzędu"", ""związał"", ""się"", ""z"", ""Ultimate"", ""Fighting"", ""Championship"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,3,4,4,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0 ]
"[ ""Shelbourne"", ""FC"", ""("", ""Irlandia"", "")"" ]";[3,4,0,5,0];[ 3, 4, 0, 5, 0 ]
"[ ""Anton"", ""Jugow"", ""("", ""1904–1991"", "")"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""``"", ""Dead"", ""Star"", ""''"" ]";[0,3,4,0];[ 0, 3, 4, 0 ]
"[ ""'"", ""''"", ""Fijación"", ""Oral"", ""Vol."", ""1"", ""''"", ""'"", ""''"" ]";[0,0,0,0,0,0,0,0,0];[ 0, 0, 3, 4, 4, 4, 0, 0, 0 ]
"[ ""Ukończył"", ""szkołę"", ""w"", ""Lahaur"", ""i"", ""Rawalpindi"", ""."" ]";[0,0,0,5,0,5,0];[ 0, 0, 0, 5, 0, 5, 0 ]
"[ ""Estádio"", ""do"", ""Dragão"" ]";[5,6,6];[ 3, 4, 4 ]
"[ ""'"", ""''"", ""Lu"", ""Chunlong"", ""''"", ""'"" ]";[0,0,1,2,0,0];[ 0, 0, 1, 2, 0, 0 ]
"[ ""Najlepsza"", ""aktorka"", ""-"", ""Janet"", ""McTeer"", ""("", ""nominacja"", "")"" ]";[0,0,0,1,2,0,0,0];[ 0, 0, 0, 1, 2, 0, 0, 0 ]
"[ ""hrabstwo"", ""Salem"", ""w"", ""stanie"", ""New"", ""Jersey"" ]";[5,6,0,0,5,6];[ 5, 6, 0, 0, 5, 6 ]
"[ ""839"", ""r."", "")"", "","", ""syna"", ""Eochaida"", ""VI"", ""mac"", ""Fíachnai"", ""("", ""zm"", ""."" ]";[0,0,0,0,0,1,2,2,2,0,0,0];[ 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0 ]
"[ ""ATA"", ""("", ""technologia"", "")"" ]";[0,0,0,0];[ 3, 4, 4, 4 ]
"[ ""Ryszarda"", ""Bartla"", ""z"", ""Wytwórni"", ""Lotniczej"", ""„Samolot”"", ""z"", ""Poznania"", "","", ""oznaczony"", ""jako"", ""''BM-3"", ""''"", ""."" ]";[1,2,0,3,4,4,0,5,0,0,0,0,0,0];[ 1, 2, 0, 3, 4, 4, 0, 5, 0, 0, 0, 0, 0, 0 ]
"[ ""Biografia"", ""Armia"", ""Stanów"", ""Zjednoczonych"" ]";[0,3,4,4];[ 0, 3, 4, 4 ]
"[ ""Luigi"", ""Sincero"", ""("", ""1930-1931"", "")"" ]";[1,2,0,0,0];[ 1, 2, 0, 0, 0 ]
"[ ""W"", ""Gandawie"", ""jego"", ""dobra"", ""passa"", ""nie"", ""została"", ""kontynuowana"", ""."" ]";[0,5,0,0,0,0,0,0,0];[ 0, 5, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Henry"", ""Kissinger"", ""–"", ""jako"", ""on"", ""sam"" ]";[1,2,0,0,0,0];[ 1, 2, 0, 0, 0, 0 ]
"[ ""**"", ""Peter"", ""Handke"", "","", ""''Godzina"", "","", ""w"", ""której"", ""nie"", ""wiedzieliśmy"", ""nic"", ""o"", ""sobie"", ""nawzajem"", ""''"", "","", ""reż"", ""."" ]";[0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[ 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Nazwa"", ""samochodu"", ""pochodzi"", ""od"", ""włoskiego"", ""słowa"", ""''koncert"", ""''"", ""."" ]";[0,0,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 5, 0, 0, 0, 0 ]
"[ ""Niedługo"", ""potem"", ""wybrał"", ""się"", ""w"", ""podróż"", ""naukową"", ""do"", ""Wielkiej"", ""Brytanii"", ""i"", ""Holandii"", ""."" ]";[0,0,0,0,0,0,0,0,5,6,0,5,6];[ 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 0 ]
"[ ""Nino"", ""Burdżanadzepełniąca"", ""obowiązki"", ""''"", ""("", ""1964-"", "")"" ]";[1,2,0,0,0,0,0];[ 1, 2, 0, 0, 0, 0, 0 ]
"[ ""'"", ""''"", ""Francja"", ""''"", ""'"" ]";[0,0,5,0,0];[ 0, 0, 5, 0, 0 ]
"[ ""John"", ""Isner"", ""''"", ""'6:4"", "","", ""7:6"", ""("", ""5"", "")"", ""'"", ""''"" ]";[1,2,0,0,0,0,0,0,0,0,0];[ 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Budynek"", ""dworca"", ""jest"", ""zbudowany"", ""według"", ""tego"", ""samego"", ""projektu"", ""co"", ""dworzec"", ""w"", ""Colmar"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0,5,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 0 ]
"[ ""Demigod"", ""''"", ""-"", ""Behemoth"" ]";[3,0,0,3];[ 3, 0, 0, 3 ]
"[ ""PATRZ"", ""Khondokar"", ""Mośtak"", ""Ahmed"" ]";[0,1,2,2];[ 0, 1, 2, 2 ]
"[ ""W"", ""podziemiu"", ""związany"", ""z"", ""Solidarnością"", ""Walczącą"", ""."" ]";[0,0,0,0,3,4,0];[ 0, 0, 0, 0, 3, 4, 0 ]
"[ ""'"", ""''"", ""Lourdes"", ""Domínguez"", ""Lino"", ""Arantxa"", ""Parra"", ""Santonja"" ]";[0,0,1,2,2,1,2,2];[ 0, 0, 1, 2, 2, 1, 2, 2 ]
"[ ""**"", ""Prezydent"", ""Niemiec"", ""Christian"", ""Wulff"", ""ustąpił"", ""ze"", ""stanowiska"", ""z"", ""powodu"", ""zarzutów"", ""korupcyjnych"", ""."" ]";[0,1,2,1,2,0,0,0,0,0,0,0,0];[ 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Lemat"", ""o"", ""pompowaniu"", ""dla"", ""języków"", ""regularnych"" ]";[ 3, 4, 4, 4, 4, 4 ];[ 3, 4, 4, 4, 4, 4 ]
"[ ""W"", ""zawodach"", ""tych"", ""wyprzedziły"", ""ją"", ""jedynie"", ""Brytyjka"", ""Victoria"", ""Pendleton"", ""oraz"", ""Chinka"", ""Guo"", ""Shuang"", ""."" ]";[0,0,0,0,0,0,0,1,2,0,0,1,2,0];[ 0, 0, 0, 0, 0, 0, 5, 1, 2, 0, 5, 1, 2, 0 ]
"[ ""Obwód"", ""Nadnotecki"", ""("", ""1772-1807"", "")"" ]";[5,6,0,0,0];[ 5, 6, 0, 0, 0 ]
"[ ""'"", ""''"", ""Reprezentacja"", ""kobiet"", ""''"", ""'"" ]";[0,0,0,0,0,0];[ 0, 0, 3, 4, 0, 0 ]
"[ ""Ślub"", ""odbył"", ""się"", ""w"", ""Pałacu"", ""Zimowym"", ""w"", ""Petersburgu"", ""."" ]";[0,0,0,0,5,6,0,5,0];[ 0, 0, 0, 0, 3, 4, 0, 5, 0 ]
"[ ""**"", ""Kompania"", ""zaopatrzenia"", ""i"", ""obsługi"", ""("", ""Grootfontein"", "")"" ]";[0,0,0,0,0,0,5,0];[ 0, 0, 0, 0, 0, 0, 5, 0 ]
"[ ""'"", ""''"", ""Mary"", ""Joe"", ""Fernández"", ""''"", ""'"" ]";[0,0,1,2,2,0,0];[ 0, 0, 1, 2, 2, 0, 0 ]
"[ ""Mieści"", ""się"", ""tu"", ""filia"", ""Uniwersytetu"", ""Egejskiego"", ""."" ]";[0,0,0,0,3,4,0];[ 0, 0, 0, 0, 3, 4, 0 ]
"[ ""Estudiantes"", ""Buenos"", ""Aires"", ""–"", ""San"", ""Isidro"", ""Buenos"", ""Aires"", ""1:0"" ]";[3,4,4,0,3,4,4,4,0];[ 3, 4, 4, 0, 3, 4, 4, 4, 0 ]
"[ ""część"", ""wód"", ""jeziora"", ""Wigry"" ]";[0,0,5,6];[ 0, 0, 5, 6 ]
"[ ""Hrabstwo"", ""Adams"", ""("", ""południe"", "")"" ]";[5,6,0,0,0];[ 5, 6, 0, 0, 0 ]
"[ ""Pochowany"", ""został"", ""na"", ""Cmentarzu"", ""Powązkowskim"", ""w"", ""Warszawie"", ""."" ]";[0,0,0,5,6,0,5,0];[ 0, 0, 0, 5, 6, 6, 6, 0 ]
"[ ""Wysiadł"", ""dopiero"", ""w"", ""Paryżu"", ""."" ]";[0,0,0,5,0];[ 0, 0, 0, 5, 0 ]
"[ ""Wielka"", ""Ławra"", "","", ""Γ"", ""'"", ""100"" ]";[3,4,0,0,0,0];[ 3, 4, 0, 0, 0, 0 ]
"[ ""Urodził"", ""się"", ""i"", ""wychował"", ""w"", ""małym"", ""miasteczku"", ""Albany"", ""w"", ""stanie"", ""Nowy"", ""Jork"", ""."" ]";[0,0,0,0,0,0,0,5,0,5,6,6,0];[ 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 6, 6, 0 ]
"[ ""Eartha"", ""Kitt"", ""–"", ""'"", ""''"", ""Yzma"", ""''"", ""'"" ]";[1,2,0,0,0,1,0,0];[ 1, 2, 0, 0, 0, 0, 0, 0 ]
"[ ""'"", ""''"", ""Najibabad"", ""''"", ""'"", ""–"", ""miasto"", ""w"", ""północnych"", ""Indiach"", ""w"", ""stanie"", ""Uttar"", ""Pradesh"", "","", ""na"", ""Nizinie"", ""Hindustańskiej"", ""."" ]";[0,0,5,0,0,0,0,0,0,5,0,0,5,6,0,0,5,6,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 0, 0, 5, 6, 0 ]
