Labels;Sentences
[ 3, 4, 4, 4, 4 ];"[ ""1st"", ""Foreign"", ""Legion"", ""Cavalry"", ""Regiment"" ]"
[ 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ];"[ ""John"", ""Reid"", ""("", ""''27"", ""July"", ""1998"", ""–"", ""17"", ""May"", ""1999"", ""''"", "")"" ]"
[ 5, 6, 6 ];"[ ""Annweiler"", ""am"", ""Trifels"" ]"
[ 1, 2, 2, 2, 2 ];"[ ""Manuel"", ""``"", ""Flaco"", ""''"", ""Ibáñez"" ]"
[0,0,0,0,0,0,0,0,0,0,0];"[ ""``"", ""Moments"", ""and"", ""Mine"", ""''"", ""7"", ""''"", ""single"", ""("", ""1981"", "")"" ]"
[0,3,4,0];"[ ""2008–09"", ""Beşiktaş"", ""J.K."", ""season"" ]"
[ 0, 0, 0, 0, 3, 4, 0, 0 ];"[ ""C]]"", "")"", ""'"", ""''"", ""Akritas"", ""Chlorakas"", ""''"", ""'"" ]"
[ 3, 4, 4, 0, 0, 0, 0 ];"[ ""Farmers"", ""'"", ""Almanac"", ""''"", ""("", ""1818–present"", "")"" ]"
[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5, 0, 0, 0 ];"[ ""He"", ""was"", ""betrayed"", ""in"", ""1931"", ""and"", ""arrested"", ""by"", ""the"", ""Kuomintang"", ""in"", ""Tianjin"", ""in"", ""1931"", ""."" ]"
[ 0, 0, 0, 0, 5, 0 ];"[ ""It"", ""is"", ""found"", ""in"", ""Peru"", ""."" ]"
[ 1, 2, 0, 0 ];"[ ""Steve"", ""Hindalong"", ""-"", ""producer"" ]"
[ 1, 2, 0, 0, 0, 0, 0, 0, 0, 0 ];"[ ""Han"", ""Suyin"", ""gives"", ""a"", ""detailed"", ""account"", ""of"", ""their"", ""overthrow"", "":"" ]"
[ 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ];"[ ""Bishop"", ""John"", ""J."", ""Kinney"", ""("", ""November"", ""9"", "","", ""1976"", ""-"", ""June"", ""28"", "","", ""1982"", "")"", ""appointed"", ""Bishop"", ""of"", ""Bismarck"", "","", ""Bishop"", ""of"", ""Saint"", ""Cloud"", ""("", ""1995"", "")"" ]"
[ 5, 6, 6, 6, 6, 6, 6 ];"[ ""Wilson"", "","", ""Eau"", ""Claire"", ""County"", "","", ""Wisconsin"" ]"
[0,0,3,4,4,0,0];"[ ""'"", ""''"", ""Sydney"", ""Theatre"", ""Company"", ""''"", ""'"" ]"
[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ];"[ ""His"", ""first"", ""recording"", ""of"", ""the"", ""song"", ""was"", ""included"", ""on"", ""his"", ""2005"", ""album"", ""Time"", ""Well"", ""Wasted"", ""''"", ""."" ]"
[ 0, 0, 5, 0, 0, 0 ];"[ ""Goes"", ""to"", ""Jhansi"", ""("", ""JHS"", "")"" ]"
[ 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0 ];"[ ""**"", ""''"", ""Kashiwa"", ""Reysol"", ""''"", ""'"", ""3–2"", ""("", ""2–0"", "")"", ""Jeonbuk"", ""Hyundai"", ""Motors"", ""."" ]"
[ 0, 0, 0, 0, 5, 6, 6, 6, 0 ];"[ ""He"", ""was"", ""born"", ""in"", ""Merritt"", ""Island"", "","", ""Florida"", ""."" ]"
[ 5, 6, 6, 6, 6 ];"[ ""Roman"", ""Catholic"", ""Archdiocese"", ""of"", ""Edmonton"" ]"
[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0 ];"[ ""He"", ""scored"", ""the"", ""first"", ""two"", ""touchdowns"", ""of"", ""his"", ""career"", ""on"", ""September"", ""23"", "","", ""2007"", ""in"", ""a"", ""24–3"", ""win"", ""against"", ""the"", ""St."", ""Louis"", ""Rams"", ""."" ]"
[ 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 0, 0, 0, 0, 0 ];"[ ""It"", ""was"", ""founded"", ""in"", ""2013"", ""by"", ""Jean"", ""Colombera"", "","", ""a"", ""member"", ""of"", ""the"", ""Chamber"", ""of"", ""Deputies"", ""that"", ""had"", ""been"", ""elected"", ""for"", ""the"", ""Alternative"", ""Democratic"", ""Reform"", ""Party"", ""at"", ""the"", ""2009"", ""election"", ""."" ]"
[ 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 0, 0, 0 ];"[ ""Ashley"", ""Tappin"", ""("", ""55.47"", "")"", ""Erin"", ""Phenix"", ""("", ""56.12"", "")"", ""Courtney"", ""Shealy"", ""("", ""54.99"", "")"", ""Amy"", ""Van"", ""Dyken"", ""("", ""54.40"", "")"" ]"
[ 1, 2, 0, 1, 2 ];"[ ""Romy"", ""Kermer"", ""/"", ""Rolf"", ""Österreich"" ]"
[ 3, 4, 4, 0, 5 ];"[ ""Gates-Chili"", ""High"", ""School"", "","", ""Gates"" ]"
[ 1, 2, 0, 0, 0, 0 ];"[ ""Riki"", ""Lindhome"", ""("", ""5"", ""appearances"", "")"" ]"
[0,0,0,0,0,0,0];"[ ""Raindrops"", ""Keep"", ""Fallin"", ""'"", ""on"", ""My"", ""Head"" ]"
[ 0, 0, 0, 5, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0 ];"[ ""He"", ""died"", ""in"", ""Hermanus"", "","", ""Western"", ""Cape"", "","", ""South"", ""Africa"", "","", ""aged"", ""68"", "","", ""and"", ""was"", ""buried"", ""in"", ""Israel"", ""."" ]"
[ 0, 0, 0, 0, 0, 0, 0, 0 ];"[ ""for"", ""the"", ""treatment"", ""of"", ""Type"", ""1"", ""Diabetes"", ""."" ]"
[ 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 3, 4, 4, 0 ];"[ ""He"", ""died"", ""at"", ""his"", ""home"", ""at"", ""Earls"", ""Court"", ""and"", ""was"", ""buried"", ""at"", ""West"", ""Norwood"", ""Cemetery"", ""."" ]"
[ 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0 ];"[ ""Both"", ""teams"", ""had"", ""the"", ""chance"", ""to"", ""play"", ""in"", ""Super"", ""Bowl"", ""XLIX"", ""."" ]"
[ 0, 0, 0, 0, 0, 3, 4, 4, 0 ];"[ ""Its"", ""closest"", ""competitor"", ""is"", ""the"", ""Encash"", ""Network"", ""Service"", ""."" ]"
[4,5,5,5,5,5,5,5,5,5,5];"[ ""Turning"", ""Stone"", ""Casino"", "","", ""Verona"", "","", ""New"", ""York"", "","", ""United"", ""States"" ]"
[5,6,6,6,6,6,6];"[ ""Crown"", "","", ""Monongalia"", ""County"", "","", ""West"", ""Virginia"" ]"
[1,2,2,0,1,2,2,0,1,2,2,0,1,2,2];"[ ""Tang"", ""Yik"", ""Chun"", "","", ""Lai"", ""Chun"", ""Ho"", "","", ""Ng"", ""Ka"", ""Fung"", "","", ""Tsui"", ""Chi"", ""Ho"" ]"
[0,0,0,0,1,0];"[ ""''"", ""1999"", ""''"", ""("", ""Prince"", "")"" ]"
[5,6,6];"[ ""Hay"", ""River"", ""Reserve"" ]"
[0,1,0,0,0,0];"[ ""''"", ""Heathcliff"", ""''"", ""("", ""1980"", "")"" ]"
[3,4,0,0,0];"[ ""Galician"", ""Academy"", ""("", ""private"", "")"" ]"
[0,0,0,0,0,0,0,0,0];"[ ""''"", ""Thysanoplusia"", ""orichalcea"", ""''"", ""("", ""Fabricius"", "","", ""1775"", "")"" ]"
[0,0,1,2,2,2,0];"[ ""He"", ""became"", ""George"", ""III"", ""'s"", ""Chaplain-in-Ordinary"", ""."" ]"
[1,2,0,0,0,0];"[ ""Mark"", ""King"", ""("", ""born"", ""1958"", "")"" ]"
[1,2,0,0,0,0,0,0];"[ ""Paul"", ""Tsongas"", ""-"", ""209"", ""("", ""4.98"", ""%"", "")"" ]"
[0,0,0,0];"[ ""''"", ""Papilio"", ""polyxenes"", ""''"" ]"
[0,0,0,0,1,0,0];"[ ""''"", ""Heliothis"", ""nubigera"", ""''"", ""Herrich-Schäffer"", "","", ""1851"" ]"
[0,0,1,0,1,2,0,0];"[ ""'"", ""''"", ""Andaman"", ""and"", ""Nicobar"", ""Islands"", ""''"", ""'"" ]"
[5,6,6,6];"[ ""Glasston"", "","", ""North"", ""Dakota"" ]"
[5,6,6];"[ ""St."", ""Martin"", ""River"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,2,0,0];"[ ""The"", ""album"", ""reached"", ""number"", ""one"", ""halfway"", ""through"", ""its"", ""first"", ""week"", "","", ""with"", ""over"", ""2,500"", ""copies"", ""sold"", ""("", ""rivalling"", ""Adele"", "","", ""Bruno"", ""Mars"", ""and"", ""Ed"", ""Sheeran"", "")"", ""."" ]"
[0,0,0,0,0,0];"[ ""Winx"", ""Club"", ""''"", ""("", ""2005–08"", "")"" ]"
[0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""Organized"", ""at"", ""Fort"", ""Craig"", "","", ""it"", ""was"", ""mustered"", ""on"", ""23"", ""November"", ""1861"", ""and"", ""served"", ""until"", ""28"", ""February"", ""1862"", ""."" ]"
[1,2,0,1,2];"[ ""Rudy"", ""Wurlitzer"", ""as"", ""Tom"", ""O'Folliard"" ]"
[5,6,6,6,6,6,6,6,6,0,0,0];"[ ""*Seated"", ""figure"", ""of"", ""Sir"", ""Walter"", ""Scott"", ""for"", ""Powderham"", ""Castle"", ""("", ""1832"", "")"" ]"
[5,6,6,6,6];"[ ""Sandy"", ""Ridge"", "","", ""North"", ""Carolina"" ]"
[1,2,0,0,0,0];"[ ""Ashok"", ""Kumar"", ""("", ""Telugu"", ""actor"", "")"" ]"
[1,2,3,0,3,4,0,0,0];"[ ""Thomas"", ""Gabriel"", ""Fischer"", ""leaves"", ""Celtic"", ""Frost"", ""in"", ""April"", ""."" ]"
[0,0,0,0,0,0,0,0,0] ;"[ ""''"", ""Can"", ""You"", ""Teach"", ""My"", ""Alligator"", ""Manners"", ""?"", ""''"" ]"
[1,2,0,0,0,0,0,0];"[ ""Otto"", ""Geßler"", ""("", ""Acting"", "")"", ""("", ""1875–1955"", "")"" ]"
[0,0,3,4];"[ "":"", ""On"", ""Lifetime"", ""Channel"" ]"
[3,0,0,3,4,4,0];"[ ""RCI"", ""367"", ""("", ""Radio"", ""Canada"", ""International"", "")"" ]"
[1,2,2,0,0,0,0,0,0];"[ ""Sir"", ""Robert"", ""Robinson"", "","", ""from"", ""1930"", ""to"", ""1954"", ""."" ]"
[1,2,2,2,0];"[ ""Hutton"", "","", ""Frederick"", ""Wollaston"", ""."" ]"
[0,0,0,0];"[ ""''"", ""Macrobathra"", ""monoclina"", ""''"" ]"
[0,0,0,0,0,0,0,0,3,4,4,4,4,0,0,0,0,0,0,0,3,4,4,0,0];"[ ""He"", ""one"", ""of"", ""eleven"", ""founding"", ""members"", ""of"", ""the"", ""American"", ""Society"", ""of"", ""Landscape"", ""Architects"", ""in"", ""1899"", ""and"", ""was"", ""active"", ""in"", ""the"", ""City"", ""Beautiful"", ""Movement"", ""''"", ""."" ]"
[1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0];"[ ""Alberto"", ""Mancini"", ""won"", ""in"", ""the"", ""final"", ""7–5"", "","", ""2–6"", "","", ""7–6"", "","", ""7–5"", ""against"", ""Boris"", ""Becker"", ""."" ]"
[0,0,0,0];"[ ""''"", ""Congoharpax"", ""aberrans"", ""''"" ]"
[3,4,4,4];"[ ""Kaohsiung"", ""Museum"", ""of"", ""Labor"" ]"
[1,2,2,2,2,2,0,0,0,0,0,0,0,0];"[ ""Benigno"", ""S."", ""Aquino"", "","", ""Jr"", ""."", "","", ""August"", ""21"", "","", ""2004"", ""("", ""posthumous"", "")"" ]"
[1,2,0,0,0];"[ ""Lina"", ""Carstens"", ""("", ""1892–1978"", "")"" ]"
[0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""**On"", ""June"", ""26"", ""against"", ""the"", ""Chicago"", ""Cubs"", "","", ""he"", ""got"", ""his"", ""2000th"", ""career"", ""hit"", ""with"", ""a"", ""home"", ""run"", ""in"", ""the"", ""second"", ""inning"", ""."" ]"
[3,4,4,4,4,4];"[ ""Shahid"", ""Beheshti"", ""University"", ""of"", ""Medical"", ""Sciences"" ]"
[1,2,0,0,0];"[ ""Carmelita"", ""Tropicana"", ""-"", ""Performance"", ""artist"" ]"
[3,4,4];"[ ""University"", ""of"", ""Giessen"" ]"
[1,2,0,0,0];"[ ""Bradley"", ""Beal"", ""("", ""34"", "")"" ]"
[3,4,4,0,5,6,0,0,5,0,0,5,0,0,5,6,0,0,0,0,0,0,0,3,4,0];"[ ""Five"", ""Borders"", ""shops"", ""in"", ""Oxford"", ""Street"", "","", ""Llantrisant"", "","", ""Blanchardstown"", "","", ""Swindon"", ""and"", ""London"", ""Colney"", ""were"", ""closed"", ""in"", ""July"", ""2009"", ""and"", ""replaced"", ""by"", ""New"", ""Look"", ""."" ]"
[1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0];"[ ""Lord"", ""Zetland"", "","", ""the"", ""Secretary"", ""of"", ""State"", ""for"", ""India"", "","", ""was"", ""presiding"", ""over"", ""the"", ""meeting"", ""and"", ""was"", ""wounded"", ""."" ]"
[0,0,0,0] ;"[ ""Night"", ""At"", ""The"", ""Museum"" ]"
[0,0,0,0,0,0];"[ ""Vepris"", ""trifoliolata"", ""''"", ""("", ""Engl"", ""."" ]"
[0,0,0,0,0,0,0,3] ;"[ ""**"", ""``"", ""Back"", ""for"", ""More"", ""''"", ""–"", ""Sandwich"" ]"
[0,0,0,0,0,0,0,0,0];"[ ""Crested"", ""caracara"", "","", ""''Caracara"", ""cheriway"", ""''"", ""("", ""A"", "")"" ]"
[0,0,0,1,2,2,0,0,0,0,0,0];"[ ""8"", ""July"", ""—"", ""Annie"", ""Shepherd"", ""Swan"", "","", ""writer"", ""("", ""died"", ""1943"", "")"" ]"
[1,0,1,2];"[ ""Vandino"", ""and"", ""Ugolino"", ""Vivaldi"" ]"
[0,0,0,0];"[ ""Inhaler"", ""("", ""album"", "")"" ]"
[0,0,0,0,0,0,0];"[ ""''"", ""Autosticha"", ""pelodes"", ""''"", ""Meyrick"", "","", ""1928"" ]"
[0,0,0,0];"[ ""Cities"", ""Built"", ""on"", ""Sand"" ]"
[0,0,0,0,0,3,4,4,0,0,0,0,3,4,0];"[ ""It"", ""was"", ""originally"", ""recorded"", ""by"", ""The"", ""Great"", ""Society"", "","", ""and"", ""later"", ""by"", ""Jefferson"", ""Airplane"", ""."" ]"
[1,2,2,0];"[ ""H."", ""T."", ""Bartlett"", ""1947–1949"" ]"
[0,0,5,0,0];"[ ""'"", ""''"", ""Mittani"", ""''"", ""'"" ]"
[0,0,0,0,0,0,5,6,6,6,6,0];"[ ""Its"", ""local"", ""government"", ""area"", ""are"", ""the"", ""Cities"", ""of"", ""Boroondara"", ""and"", ""Stonnington"", ""."" ]"
[1,2,2];"[ ""Martín"", ""de"", ""Ursúa"" ]"
[5,0,5,0,5,0,5];"[ ""Zawadzkie"", "","", ""Kolonowskie"", "","", ""Leśnica"", "","", ""Ujazd"" ]"
[5,6,6,6,6];"[ ""Orange"", "","", ""New"", ""South"", ""Wales"" ]"
[5,6,6,6,6,6,6];"[ ""Göttingen"", ""State"", ""and"", ""University"", ""Library"", "","", ""Göttingen"" ]"
[0,0,5,0,0];"[ ""'"", ""''"", ""Uganda"", ""''"", ""'"" ]"
[0,0,0];"[ ""Dwarf"", ""flying"", ""fox"" ]"
[0,0,0,0,0,3,4,0,0,0,0,0,5,0];"[ ""In"", ""1989"", "","", ""he"", ""joined"", ""Rapho"", ""agency"", ""and"", ""spent"", ""one"", ""year"", ""in"", ""Egypt"", ""."" ]"
[1,2,2,0,0,0,0,0];"[ ""Ruth"", ""Bryan"", ""Owen"", ""was"", ""also"", ""a"", ""granddaughter"", ""."" ]"
[3,4,4,0];"[ ""Skegness"", ""Town"", ""A.F.C"", ""."" ]"
[0,0,0,0,0,0,0,0];"[ ""Horisme"", ""aquata"", ""''"", ""("", ""Hübner"", "","", ""1813"", "")"" ]"
[0,0,0,0,0,0];"[ ""The"", ""Young"", ""Indiana"", ""Jones"", ""Chronicles"", ""''"" ]"
[1,2,1,2,1,2,1,2];"[ ""Matthias"", ""Bachinger"", ""Ričardas"", ""Berankis"", ""Niels"", ""Desein"", ""Pere"", ""Riba"" ]"
[5,6,6,6,6,6] ;"[ ""Little"", ""River"", ""("", ""Cariboo"", ""River"", "")"" ]"
[5,0,5,0,5,0,5];"[ ""Grangettes"", "","", ""Marsens"", "","", ""Sâles"", "","", ""Riaz"" ]"
[0,0,0,0,0,0,0,0,0,0];"[ ""The"", ""Little"", ""Mermaid"", ""2"", "":"", ""Return"", ""to"", ""the"", ""Sea"", ""''"" ]"
[0,1,2,0,0];"[ "":"", ""Ross"", ""Dowson"", ""-"", ""4,539"" ]"
[0,0,0,0,0,0,3,4,4];"[ ""``"", ""Dead"", ""on"", ""Arrival"", ""''"", ""-"", ""Fall"", ""Out"", ""Boy"" ]"
[0,0,0];"[ ""Lists"", ""of"", ""violinists"" ]"
[3,0,0,0,0] ;"[ ""SPÖ"", ""("", ""'Labour"", ""'"", "")"" ]"
[0,0,1,2,0,0];"[ ""'"", ""''"", ""Trisha"", ""Chetty"", ""''"", ""'"" ]"
[1,2,0,0,0];"[ ""Harry"", ""Gordon"", ""("", ""disambiguation"", "")"" ]"
[3,4,4,0,0,0];"[ ""Axtell"", ""High"", ""School"", ""("", ""disambiguation"", "")"" ]"
[3,4,4,4,4,4] ;"[ ""St."", ""Louis"", ""Wrestling"", ""Hall"", ""of"", ""Fame"" ]"
[0,0,0,0,5];"[ ""Cultural"", ""heritage"", ""sites"", ""in"", ""FATA"" ]"
[3,4,4,4,4,4,4,4,] ;"[ ""William"", ""Joseph"", ""McInnes"", ""Botanic"", ""Garden"", ""and"", ""Campus"", ""Arboretum"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""1st"", ""King"", ""'s"", ""Dragoon"", ""Guards"", ""''"", ""("", ""from"", ""26"", ""February"", ""until"", ""22"", ""March"", ""1941"", "")"", ""''"" ]"
[0,1,2,0,1,0,0,0,0,1,2,0,0] ;"[ ""**"", ""Wang"", ""Zhaozuo"", ""("", ""王昭祚"", "")"", ""("", ""killed"", ""by"", ""Zhang"", ""Wenli"", ""921"", "")"" ]"
[1,2,2,2,2,0,0,0,0];"[ ""George"", "","", ""Duke"", ""of"", ""Saxony"", "","", ""1471"", ""–"", ""1539"" ]"
[1,2,2];"[ ""Borough"", ""of"", ""Bedford"" ]"
[1,2,2,0,0,0];"[ ""Feliks"", ""Kazimierz"", ""Potocki"", ""("", ""1682"", "")"" ]"
[1,2,0,0,0];"[ ""Imre"", ""Nagy"", ""("", ""1896–1958"", "")"" ]"
[0,0,0,3,4];"[ ""Trawlers"", ""of"", ""the"", ""Royal"", ""Navy"" ]"
[1,2,0,0,0,0,0,0,0,0,0];"[ ""James"", ""Scullin"", ""("", ""22"", ""October"", ""1929"", ""–"", ""6"", ""January"", ""1932"", "")"" ]"
[0,0,0,0,0,0,0,0,0,0];"[ ""Macaria"", ""granitata"", ""''"", ""–"", ""Guenée"", "","", ""1857"", ""-"", ""Granite"", ""Moth"" ]"
[0,0,0,0,0,0,0];"[ ""''"", ""Pyrausta"", ""virginalis"", ""''"", ""Duponchel"", "","", ""1832"" ]"
[5,6,6,6,6,6,6];"[ ""Colebrookdale"", ""Township"", "","", ""Berks"", ""County"", "","", ""Pennsylvania"" ]"
[1,2,2];"[ ""Matthew"", ""Farhang"", ""Mohtadi"" ]"
[3,4,4,4,0,0,0,0,0,0,0,0];"[ ""911th"", ""Air"", ""Refueling"", ""Squadron"", "":"", ""30"", ""September"", ""1982"", ""–"", ""22"", ""April"", ""1991"" ]"
[5,6,6,6,6,6,6] ;"[ ""Communes"", ""of"", ""the"", ""Territoire"", ""de"", ""Belfort"", ""department"" ]"
[1,2,2,2];"[ ""Francisco"", ""Espoz"", ""y"", ""Mina"" ]"
[0,0,3,4,4,0,0];"[ ""'"", ""''"", ""Crazy"", ""Love"", ""Tour"", ""''"", ""'"" ]"
[0,0,0,0,0];"[ "":"", ""Chief"", ""Justice"", ""of"", ""Nepal"" ]"
[0,3,4,0,0,0,0];"[ "":"", ""Big"", ""FM"", ""("", ""7.74"", ""%"", "")"" ]"
[0,0,0,0,3,4,4,0];"[ ""It"", ""is"", ""from"", ""the"", ""Pathanamthitta"", ""district"", ""headquarters"", ""."" ]"
[0,1,2,0,0,0];"[ ""13"", ""Kevin"", ""Riley"", ""-"", ""''Freshman"", ""''"" ]"
[0,0,0,0,1,2,0];"[ ""Its"", ""headquarters"", ""are"", ""in"", ""Guatemala"", ""City"", ""."" ]"
[0,0,0,0,0,0,0,0,0,0];"[ ""Rumba]]"", ""/"", ""``"", ""Waiting"", ""on"", ""the"", ""World"", ""to"", ""Change"", ""''"" ]"
[0,0,0,0,1,2,0,1,2,0,0];"[ ""She"", ""later"", ""slept"", ""with"", ""Charlotte"", ""Lau"", ""("", ""Amy"", ""Yamazaki"", "")"", ""."" ]"
[3,4,4,0,5,6,6];"[ ""Armani"", ""Jeans"", ""Milano"", ""68–72"", ""Khimki"", ""Moscow"", ""Region"" ]"
[0,0,1,2,0];"[ ""("", ""with"", ""Daniel"", ""Ryan"", "")"" ]"
[1,2,2];"[ ""Sara"", ""C."", ""Bisel"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""She"", ""was"", ""launched"", ""in"", ""1936"", ""and"", ""was"", ""sunk"", ""during"", ""the"", ""Second"", ""World"", ""War"", ""."" ]"
[1,2,2];"[ ""William"", ""B."", ""Buffum"" ]"
[0,0,0,0,0,0];"[ ""''"", ""Daddy"", ""at"", ""Home"", ""''"", ""企鹅爸爸"" ]"
[0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0];"[ ""He"", ""was"", ""a"", ""member"", ""of"", ""the"", ""Maine"", ""House"", ""of"", ""Representatives"", ""in"", ""1862"", "","", ""1864"", "","", ""1866"", ""and"", ""1872"", ""and"", ""was"", ""a"", ""delegate"", ""to"", ""the"", ""Republican"", ""National"", ""Convention"", ""in"", ""1864"", ""."" ]"
[0,0,0,5,0,0];"[ ""20px"", ""'"", ""''"", ""Starachowice"", ""''"", ""'"" ]"
[1,2,2,0,1];"[ ""Szema"", ""Wah"", ""Lung"", ""as"", ""Baijun"" ]"
[0,1,2,0,0,0,0,0];"[ "":"", ""Paul"", ""Nicholson"", ""''"", ""("", ""Third"", ""round"", "")"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,3];"[ ""``"", ""I"", ""Want"", ""More"", ""''"", ""("", ""Can"", ""song"", "")"", "","", ""a"", ""1976"", ""song"", ""by"", ""Can"" ]"
[0,0,0,5,0,5,6,0,5,0,0,0,0,0,0,0,0,0,0];"[ ""It"", ""originated"", ""in"", ""Jamaica"", "","", ""North"", ""America"", ""and"", ""Europe"", "","", ""and"", ""first"", ""became"", ""popular"", ""in"", ""the"", ""late"", ""1990s"", ""."" ]"
[3,4,0,0,0,0,0,0,0,0];"[ ""KKCEM"", ""Dhanbad"", ""was"", ""established"", ""in"", ""the"", ""year"", ""of"", ""2011"", ""."" ]"
[0,0,0,0,0,0,5,6,6,0];"[ ""The"", ""survivors"", ""were"", ""put"", ""ashore"", ""at"", ""Karlskrona"", "","", ""Sweden"", ""."" ]"
[1,2,2,2];"[ ""J."", ""H."", ""Hobart"", ""Ward"" ]"
[1,2,2];"[ ""Thomas"", ""Langdon"", ""Grace"" ]"
[1,2,0,0,0];"[ ""Stephen"", ""Levin"", ""("", ""councillor"", "")"" ]"
[1,2,0,0,0];"[ ""Ilinka"", ""Mitreva"", ""("", ""2002-2006"", "")"" ]"
[1,2,0,0,0,0,0,0];"[ ""Charlie"", ""Brown"", ""tries"", ""to"", ""sell"", ""wreaths"", ""door-to-door"", ""."" ]"
[5,6,6,6,6];"[ ""Przerębska"", ""Huta"", "","", ""Kościerzyna"", ""County"" ]"
[5,6,0,0,0,0,0];"[ ""New"", ""York"", ""2,372,949"", ""("", ""12.1"", ""%"", "")"" ]"
[0,0,1,2,0,0,0,0,0,1,2,0,0];"[ ""'"", ""''"", ""Elton"", ""John"", ""''"", ""'"", ""and"", ""'"", ""''"", ""Kiki"", ""Dee"", ""''"", ""'"" ]"
[1,2,2];"[ ""Stephen"", ""Kosgei"", ""Kibet"" ]"
[5,6,6,6];"[ ""Takko"", "","", ""Aomori"", ""Prefecture"" ]"
[3,4,4,4,0,5];"[ ""Stadion"", ""v"", ""Jiráskově"", ""ulici"", "","", ""Jihlava"" ]"
